price,stNumber,stName,size,beacon,baseFloor,buildingStyle,elevators,rooms,bedrooms,fullBathrooms,halfBathrooms,garage
192000,32,WINCHESTER ST,410,0,1,LOW-RISE,0,3,1,1,0,0
428000,405,WASHINGTON ST,1130,0,3,LOW-RISE,0,4,2,1,0,0
201200,33,POND AVE,725,0,4,HIGH-RISE,5,3,1,1,0,1
594000,185,RAWSON RD,1506,0,3,DECKER,0,6,3,1,1,0
849000,103,CROWNINSHIELD RD,1694,0,2,LOW-RISE,0,5,3,2,1,2
416000,26,HOLLY LN,1016,0,2,LOW-RISE,1,4,2,1,1,1
643000,83,PLEASANT ST,1738,0,3,ROW-MIDDLE,0,6,3,1,1,0
324000,1450,BEACON ST,676,1,4,HIGH-RISE,4,3,1,1,0,0
496500,51,JOHN ST,1131,0,4,LOW-RISE,1,4,2,2,0,0
355000,1064,BEACON ST,650,1,4,LOW-RISE,0,3,1,1,0,0
215000,44,WASHINGTON ST,500,0,9,HIGH-RISE,5,2,1,1,0,1
629000,128,DAVIS AVE,1897,0,1,DECKER,0,7,3,1,1,0
572500,33,STANTON RD,1345,0,3,DECKER,0,7,3,2,0,0
602000,183,BABCOCK ST,1530,0,1,ROW-MIDDLE,0,6,2,2,0,0
453000,14,JAMES ST,1060,0,2,LOW-RISE,0,4,2,1,0,0
520000,20,CHAPEL ST,1141,0,1,HIGH-RISE,6,5,2,2,0,1
415000,1080,BEACON ST,1046,1,3,MID-RISE,1,4,1,1,0,0
469000,313,TAPPAN ST,1142,0,1,LOW-RISE,0,5,2,2,0,0
750000,64,UNIVERSITY RD,1850,0,1,CONVERTED-HOUSE,0,7,3,2,1,0
333500,340,TAPPAN ST,830,0,2,ROW-MIDDLE,0,3,1,1,0,0
315000,99,POND AVE,900,0,3,HIGH-RISE,5,4,2,2,0,1.75
505500,28,STANTON RD,1140,0,3,LOW-RISE,0,6,3,1,1,0
995000,20,CHAPEL ST,2463,0,5,HIGH-RISE,6,6,3,3,0,2
1280000,115,SEWALL AVE,2556,0,3,LOW-RISE,0,6,4,2,1,1
454000,11,WAVERLY ST,1015,0,3,CONVERTED-HOUSE,0,4,1,1,0,0
235000,50,GREEN ST,405,0,3,LOW-RISE,1,1,1,1,0,0
192500,22,CHESTNUT PL,452,0,4,MID-RISE,2,2,1,1,0,0
363000,20,CHAPEL ST,764,0,2,HIGH-RISE,6,4,1,1,0,1
334500,31,WESTBOURNE TER,896,0,2,ROW-END,0,4,1,1,0,0
760000,12,KENT SQ,2103,0,2,CONVERTED-HOUSE,0,6,3,2,0,0
645000,32,MILTON RD,2087,0,1,DECKER,0,7,4,2,0,0
660000,23,THAYER ST,2102,0,1,DUPLEX,0,9,6,2,1,0
1250000,115,SEWALL AVE,2552,0,3,LOW-RISE,0,6,4,2,1,1
487000,20,CHAPEL ST,945,0,4,HIGH-RISE,6,5,2,1,0,1
879000,131,GARDNER RD,2281,0,1,DECKER,0,8,3,2,0,1
122645,24,JUNIPER ST,638,0,2,LOW-RISE,0,4,1,1,0,0
245000,38,JUNIPER ST,822,0,2,LOW-RISE,0,5,2,1,0,0
899000,28,MANCHESTER RD,2711,0,2,DECKER,0,8,3,2,0,1
590000,20,CHAPEL ST,1176,0,3,HIGH-RISE,6,5,2,2,0,1
490000,112,BROWNE ST,990,0,3,DECKER,0,5,2,1,0,0
295000,22,CHESTNUT PL,828,0,6,MID-RISE,2,3,1,1,1,0
986912,76,GREEN ST,1591,0,3,LOW-RISE,2,5,3,2,1,2
680040,20,CHAPEL ST,1533,0,8,HIGH-RISE,6,6,2,2,0,1
435000,36,SUMMIT AVE,1143,0,3,LOW-RISE,0,6,3,1,0,0
397500,741,HEATH ST,1102,0,2,DECKER,0,5,3,1,1,0
435000,741,HEATH ST,1191,0,3,DECKER,0,5,3,1,1,0
305000,55,THATCHER ST,656,0,1,ROW-END,0,4,2,1,0,0
615000,49,BEALS ST,1290,0,1,CONVERTED-HOUSE,0,5,2,2,0,0
359000,19,SHORT ST,800,0,3,LOW-RISE,0,4,2,1,0,0
375000,1731,BEACON ST,947,1,14,HIGH-RISE,2,4,1,1,0,1
207500,75,BOYLSTON ST,1423,0,1,LOW-RISE,0,4,3,2,0,0
174000,150,PLEASANT ST,1021,0,5,MID-RISE,1,4,2,1,0,1
710000,1824,BEACON ST,1558,1,3,ROW-END,0,6,3,2,0,0
795000,48,HARRIS ST,2100,0,1,DUPLEX,0,9,4,1,2,0
529000,20,CHAPEL ST,1141,0,4,HIGH-RISE,6,5,2,2,0,1
325000,60,LONGWOOD AVE,793,0,8,HIGH-RISE,3,3,1,1,0,1
848888,109,DAVIS AVE,2202,0,3,CONVERTED-HOUSE,0,8,4,2,0,2
469000,1243,BEACON ST,1040,1,2,MID-RISE,2,6,2,2,0,1
425000,41,KENT ST,890,0,1,DECKER,0,4,2,2,0,0
450000,126,CHESTNUT ST,1332,0,3,DECKER,0,6,4,1,0,0
725000,82,FULLER ST,1890,0,1,ROW-END,0,6,3,2,0,0
280000,99,POND AVE,880,0,2,HIGH-RISE,5,3,1,1,0,1
1262675,74,GREEN ST,2198,0,1,LOW-RISE,2,6,3,2,1,3
260000,42,DEAN RD,485,0,2,LOW-RISE,0,3,1,1,0,0
415000,133,WESTBOURNE TER,1067,0,3,DECKER,0,6,2,1,0,0
1253653,201,FREEMAN ST,2514,0,1,OTHER,0,5,3,2,1,2
270000,33,POND AVE,725,0,9,HIGH-RISE,5,3,1,1,0,1
488000,15,WELLMAN ST,1478,0,3,LOW-RISE,0,6,4,1,0,0
295000,128,BEACONSFIELD RD,615,0,3,LOW-RISE,0,3,1,1,0,0
400000,551,BROOKLINE AVE,1246,0,3,LOW-RISE,0,6,3,1,0,0
350000,1496,BEACON ST,924,1,3,LOW-RISE,0,4,1,1,0,0
640000,27,JAMES ST,1600,0,3,LOW-RISE,0,6,3,2,0,0
410000,208,FULLER ST,1183,0,3,LOW-RISE,0,5,2,1,0,0
410000,117,CROWNINSHIELD RD,898,0,1,LOW-RISE,0,3,1,1,0,1
1225000,51,ST PAUL ST,2003,0,3,DECKER,1,5,3,3,0,2
423000,50,WHITE PL,1099,0,1,LOW-RISE,0,3,1,2,0,1
307000,1742,BEACON ST,568,1,2,ROW-END,0,3,1,1,0,0
490000,51,HARVARD AVE,1173,0,2,LOW-RISE,0,5,2,1,0,1
330000,28,ST PAUL ST,715,0,3,LOW-RISE,0,4,2,1,0,0
540000,15,WELLMAN ST,1478,0,4,LOW-RISE,0,6,3,1,0,0
