Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Moriah Jefferson,CON,G,9,61,9,0,6.8,0.7,1.8,0.375,0.3,1,0.333,0.3,0.8,0.429,0.4,0.4,1,0,0.2,0.7,0.7,0,0.2,0.9,2.1
Sika Koné,MIN,F,17,57,17,0,3.4,0.4,1,0.412,0,0,,0.4,1,0.412,0.4,0.5,0.778,0.4,0.7,0.1,0.1,0,0.3,0.3,1.2
Marina Mabrey,CHI,G,24,796,24,24,33.2,5.1,13.5,0.381,2.3,6.7,0.35,2.8,6.8,0.411,1.4,2,0.723,0.7,4.9,4.5,1.2,0.3,2.8,2.7,14
Odyssey Sims,DAL,G,9,305,9,7,33.9,6.8,12.7,0.535,1.8,3.6,0.5,5,9.1,0.549,1.9,2.9,0.654,1.2,2.9,5.6,1.7,0.4,1.8,1.7,17.2
Sug Sutton,PHO,G,22,328,22,0,14.9,1,3.3,0.306,0.5,1.7,0.27,0.5,1.6,0.343,0.4,0.6,0.692,0.3,1.1,2.4,0.6,0,1.3,1.1,2.9
Celeste Taylor,IND,G,5,16,5,0,3.2,0.2,0.2,1,0,0,,0.2,0.2,1,0.2,0.4,0.5,0,0.2,0.2,0,0.2,0.2,0.2,0.6
Queen Egbo,LAS,F-C,2,4,2,0,2,0.5,0.5,1,0,0,,0.5,0.5,1,0,0,,0.5,1.5,0,0.5,0,0,0.5,1
Queen Egbo,LVA,F-C,2,2,2,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Morgan Bertsch,DAL,F,3,22,3,0,7.3,0,1,0,0,0.3,0,0,0.7,0,0.3,0.7,0.5,0.3,1.7,0,0.3,0,1.3,1.3,0.3
Moriah Jefferson,CHI,G,13,109,13,0,8.4,0.2,1.8,0.13,0.1,0.7,0.111,0.2,1.1,0.143,0.4,0.5,0.833,0.2,0.5,1.6,0.1,0,0.4,0.5,0.9
Odyssey Sims,LAS,G,14,360,14,9,25.7,3.9,8.9,0.44,0.3,1.8,0.16,3.6,7.1,0.51,2.1,2.5,0.829,0.4,1.6,4.9,0.9,0.1,2.4,1.4,10.2
Celeste Taylor,CON,G,2,11,2,0,5.5,0.5,0.5,1,0,0,,0.5,0.5,1,0,0,,0,0,0,0,0,0,2,1
Celeste Taylor,PHO,G,14,278,14,4,19.9,1.2,3.8,0.321,0.4,1.9,0.222,0.8,1.9,0.423,0.4,0.8,0.545,0.4,1.9,1.6,1,0.6,1.1,1.1,3.3
Crystal Dangerfield,LAS,G,17,224,17,5,13.2,1.3,4.5,0.286,0.7,2.3,0.308,0.6,2.2,0.263,0.2,0.4,0.667,0.1,1.1,2.1,0.4,0.2,0.9,0.7,3.5
Sika Koné,WAS,F,9,138,9,0,15.3,2.4,6.3,0.386,0.3,0.7,0.5,2.1,5.7,0.373,2.1,2.3,0.905,0.6,4,1,0.4,0.2,1,2.1,7.3
Rachel Banham,CHI,G,15,298,15,8,19.9,2.5,6.7,0.366,1.9,4.9,0.392,0.5,1.8,0.296,0.3,0.5,0.625,0.3,1.9,1.7,0.3,0.1,0.5,1.7,7.2
Sug Sutton,WAS,G,6,42,6,0,7,0.3,0.8,0.4,0,0.3,0,0.3,0.5,0.667,0,0,,0,0.7,1.5,0.3,0,0.5,0.2,0.7
Monique Billings,PHO,F,12,216,12,2,18,1.9,4.3,0.442,0.2,0.6,0.286,1.8,3.8,0.467,1.3,1.7,0.8,1.7,4.2,0.6,1,0.5,1,1.9,5.3
Marina Mabrey,CON,G,15,413,15,3,27.5,5.7,12.3,0.465,2.7,6.4,0.417,3.1,5.9,0.517,1,1.5,0.682,0.3,3.3,3.1,0.9,0.6,1.5,2.5,15.1
Myisha Hines-Allen,MIN,F,12,203,12,0,16.9,2.8,5.3,0.54,0.3,0.8,0.4,2.5,4.4,0.566,1.7,2.1,0.8,1.3,4.3,2.4,0.8,0.2,1.3,2.3,7.7
